calories,fat,carbs,protein,cholesterol,sodium,prep_time,made_it,number_of_rating,rating_score,num_reviews,photos
259.0,7.0,42.7,7.3,110.0,99.0,60.0,28,16.0,4.0,14,5
167.0,1.8,35.2,3.9,7.0,36.0,9.0,81,70.0,4.43,59,6
212.0,9.4,29.6,3.7,18.0,150.0,10.0,20,,4.14,5,2
180.0,0.2,24.6,0.2,0.0,3.0,5.0,12,,3.0,4,1
263.0,0.1,33.1,0.2,0.0,9.0,5.0,12,,4.67,7,3
156.0,5.6,8.4,0.3,20.0,14.0,5.0,6,,5.0,1,2
116.0,0.0,5.7,0.1,0.0,1.0,5.0,17,,4.8,2,1
190.0,0.0,17.0,0.1,0.0,18.0,5.0,9,,3.6,5,1
169.0,0.0,4.0,0.0,0.0,2.0,5.0,23,17.0,4.76,12,11
151.0,0.0,3.0,0.0,0.0,0.7014857369650614,5.0,49,,4.69,14,6
,,,,,,1.0,49,31.0,4.29,26,4
,,,,,,5.0,30,17.0,4.53,15,2
229.0,0.0,42.1,0.1,0.0,2.0,5.0,9,,4.33,5,3
,,,,,,5.0,29,11.0,4.64,10,4
158.0,0.1,16.4,0.5,0.0,17.0,5.0,12,,4.8,4,3
106.0,0.2,27.5,0.3,0.0,6.0,5.0,47,47.0,4.3,38,5
81.0,0.1,20.9,0.3,0.0,5.0,5.0,34,,4.5,5,5
152.0,0.3,39.3,1.1,0.0,4.0,20.0,218,185.0,4.37,149,16
207.0,0.0,2.3,0.1,0.0,47.0,5.0,6,,4.0,2,2
,,,,,,5.0,25,22.0,4.59,22,2
,,,,,,5.0,13,10.0,4.7,7,1
209.0,0.0,27.7,0.1,0.0,2.0,5.0,8,,5.0,2,4
,,,,,,5.0,27,,4.85,18,4
324.0,0.1,17.8,0.1,0.0,3.0,10.0,19,,4.25,3,1
,,,,,,5.0,14,10.0,4.8,8,1
105.0,0.6,31.4,2.4,0.0,8.0,10.0,16,,4.17,5,4
413.0,32.6,14.4,15.7,197.0,469.0,105.0,873,415.0,4.82,330,98
,,,,,,20.0,8,,4.67,5,3
551.0,0.5,110.8,1.8,0.0,5.0,20.0,8,,5.0,3,1
223.0,2.3,32.0,20.4,173.0,654.0,45.0,281,51.0,4.49,37,3
